Entity,Code,Year,Afforestation
Afghanistan,AFG,2000,70
Afghanistan,AFG,2010,70
Afghanistan,AFG,2015,70
Albania,ALB,1990,800
Albania,ALB,2000,800
Argentina,ARG,1990,23000
Argentina,ARG,2000,7000
Argentina,ARG,2010,13000
Argentina,ARG,2015,21000
Australia,AUS,1990,45340
Australia,AUS,2000,73120
Australia,AUS,2010,8250
Austria,AUT,1990,1700
Austria,AUT,2000,700
Austria,AUT,2010,300
Austria,AUT,2015,300
Azerbaijan,AZE,2000,40000
Azerbaijan,AZE,2010,86000
Azerbaijan,AZE,2015,95520
Bahrain,BHR,1990,20
Bahrain,BHR,2000,20
Bahrain,BHR,2010,20
Bahrain,BHR,2015,20
Bangladesh,BGD,1990,7500
Bangladesh,BGD,2000,0
Bangladesh,BGD,2010,0
Bangladesh,BGD,2015,0
Belarus,BLR,2000,6990
Belarus,BLR,2010,2820
Belarus,BLR,2015,1770
Belgium,BEL,2010,1000
Bhutan,BTN,1990,20
Bhutan,BTN,2000,160
Bhutan,BTN,2010,200
Bhutan,BTN,2015,200
Bosnia and Herzegovina,BIH,2000,860
Bosnia and Herzegovina,BIH,2010,460
Bosnia and Herzegovina,BIH,2015,420
Bulgaria,BGR,1990,2900
Bulgaria,BGR,2000,2940
Bulgaria,BGR,2010,400
Bulgaria,BGR,2015,100
Burundi,BDI,1990,0
Burundi,BDI,2000,0
Burundi,BDI,2010,17140
Burundi,BDI,2015,0
Cameroon,CMR,1990,300
Cameroon,CMR,2000,2000
Cameroon,CMR,2010,2000
Cameroon,CMR,2015,2000
Canada,CAN,1990,7330
Canada,CAN,2000,2470
Cape Verde,CPV,2000,3140
Cape Verde,CPV,2010,2200
Cape Verde,CPV,2015,1120
Central African Republic,CAF,1990,0
Central African Republic,CAF,2000,0
Central African Republic,CAF,2010,0
Central African Republic,CAF,2015,0
Chile,CHL,1990,63610
Chile,CHL,2000,53240
Chile,CHL,2010,11240
Chile,CHL,2015,2440
China,CHN,1990,1185000
China,CHN,2000,1572800
China,CHN,2010,1220900
China,CHN,2015,1067800
Colombia,COL,1990,6870
Colombia,COL,2000,21560
Colombia,COL,2010,8540
Colombia,COL,2015,680
Congo,COG,1990,0
Congo,COG,2000,0
Congo,COG,2010,0
Congo,COG,2015,0
Costa Rica,CRI,1990,4770
Costa Rica,CRI,2000,3500
Costa Rica,CRI,2010,3840
Costa Rica,CRI,2015,2110
Croatia,HRV,2000,160
Croatia,HRV,2010,190
Croatia,HRV,2015,30
Cyprus,CYP,1990,260
Cyprus,CYP,2000,210
Cyprus,CYP,2010,20
Cyprus,CYP,2015,10
Denmark,DNK,1990,4050
Denmark,DNK,2000,1660
Denmark,DNK,2010,7900
Denmark,DNK,2015,1370
Djibouti,DJI,1990,0
Djibouti,DJI,2000,0
Djibouti,DJI,2010,0
Djibouti,DJI,2015,200
Dominican Republic,DOM,1990,2780
Dominican Republic,DOM,2000,6490
Dominican Republic,DOM,2010,6710
Estonia,EST,2000,3210
Estonia,EST,2010,5640
Estonia,EST,2015,1700
Falkland Islands,FLK,1990,0
Falkland Islands,FLK,2000,0
Falkland Islands,FLK,2010,0
Falkland Islands,FLK,2015,0
Finland,FIN,1990,9000
Finland,FIN,2000,1010
Finland,FIN,2010,4020
French Polynesia,PYF,1990,410
French Polynesia,PYF,2000,90
Georgia,GEO,2000,4970
Georgia,GEO,2010,0
Georgia,GEO,2015,0
Germany,DEU,1990,8000
Germany,DEU,2000,9000
Germany,DEU,2010,7000
Germany,DEU,2015,4000
Greenland,GRL,1990,0
Greenland,GRL,2000,0
Greenland,GRL,2010,0
Greenland,GRL,2015,0
Guadeloupe,GLP,1990,0
Guadeloupe,GLP,2000,0
Guadeloupe,GLP,2010,0
Guadeloupe,GLP,2015,0
Guinea,GIN,1990,12000
Guyana,GUY,1990,0
Guyana,GUY,2000,0
Guyana,GUY,2010,0
Guyana,GUY,2015,0
Hungary,HUN,1990,6210
Hungary,HUN,2000,10020
Hungary,HUN,2010,1030
Hungary,HUN,2015,460
Iceland,ISL,1990,1230
Iceland,ISL,2000,1440
Iceland,ISL,2010,660
Iceland,ISL,2015,600
Iraq,IRQ,1990,0
Iraq,IRQ,2000,0
Iraq,IRQ,2010,0
Iraq,IRQ,2015,0
Ireland,IRL,1990,16000
Ireland,IRL,2000,8130
Ireland,IRL,2010,5990
Ireland,IRL,2015,4600
Isle of Man,IMN,1990,0
Isle of Man,IMN,2000,0
Isle of Man,IMN,2010,0
Isle of Man,IMN,2015,0
